timestamp,transaction_id,operation,status,item_id,quantity,amount,payment_method,phase,reason,details
2026-04-27 18:39:20,N/A,TransactionManager,INFO,,0,0.00,,,,Purchase requested -> TXN-2 Item: snack Qty: 2 Payment: UPI
2026-04-27 18:39:20,TXN-2,Purchase,STARTED,snack,2,0.00,UPI,REQUESTED,,Purchase request accepted by facade
2026-04-27 18:39:20,TXN-2,Purchase,PASSED,snack,2,0.00,UPI,VALIDATED,,All static and derived constraints passed
2026-04-27 18:39:20,N/A,TransactionManager,INFO,,0,0.00,,,,Snapshot saved before payment and dispense -> Item: snack
2026-04-27 18:39:20,TXN-2,Purchase,SAVED,snack,2,0.00,UPI,SNAPSHOT_SAVED,,Rollback point captured
2026-04-27 18:39:20,TXN-2,Purchase,PASSED,snack,2,170.00,UPI,RESERVED,,Stock reserved atomically
2026-04-27 18:39:20,TXN-2,Purchase,PASSED,snack,2,170.00,UPI,PAYMENT_CONFIRMED,,Payment adapter approved charge
2026-04-27 18:39:20,TXN-2,Purchase,SUCCESS,snack,2,170.00,UPI,COMMITTED,,Inventory reduced and transaction completed atomically
2026-04-27 18:39:20,N/A,TransactionManager,INFO,,0,0.00,,,,Purchase completed -> SUCCESS | Item: snack
2026-04-27 18:39:20,N/A,TransactionManager,INFO,,0,0.00,,,,Restock requested -> Item: food Qty: 3
2026-04-27 18:39:20,N/A,Restock,SUCCESS,,0,0.00,,,,Item=food Qty=3
2026-04-27 18:39:20,N/A,TransactionManager,INFO,,0,0.00,,,,Restock completed -> Item: food | New stock: 14
