timestamp,transaction_id,operation,status,item_id,quantity,amount,payment_method,phase,reason,details
2026-04-27 18:39:20,N/A,TransactionManager,INFO,,0,0.00,,,,Purchase requested -> TXN-3 Item: water Qty: 2 Payment: UPI
2026-04-27 18:39:20,TXN-3,Purchase,STARTED,water,2,0.00,UPI,REQUESTED,,Purchase request accepted by facade
2026-04-27 18:39:20,TXN-3,Purchase,PASSED,water,2,0.00,UPI,VALIDATED,,All static and derived constraints passed
2026-04-27 18:39:20,N/A,TransactionManager,INFO,,0,0.00,,,,Snapshot saved before payment and dispense -> Item: water
2026-04-27 18:39:20,TXN-3,Purchase,SAVED,water,2,0.00,UPI,SNAPSHOT_SAVED,,Rollback point captured
2026-04-27 18:39:20,TXN-3,Purchase,PASSED,water,2,100.00,UPI,RESERVED,,Stock reserved atomically
2026-04-27 18:39:20,TXN-3,Purchase,PASSED,water,2,100.00,UPI,PAYMENT_CONFIRMED,,Payment adapter approved charge
2026-04-27 18:39:20,TXN-3,Purchase,SUCCESS,water,2,100.00,UPI,COMMITTED,,Inventory reduced and transaction completed atomically
2026-04-27 18:39:21,N/A,TransactionManager,INFO,,0,0.00,,,,Purchase completed -> SUCCESS | Item: water
2026-04-27 18:39:21,N/A,TransactionManager,INFO,,0,0.00,,,,Purchase requested -> TXN-4 Item: food Qty: 2 Payment: CARD
2026-04-27 18:39:21,TXN-4,Purchase,STARTED,food,2,0.00,CARD,REQUESTED,,Purchase request accepted by facade
2026-04-27 18:39:21,TXN-4,Purchase,PASSED,food,2,0.00,CARD,VALIDATED,,All static and derived constraints passed
2026-04-27 18:39:21,N/A,TransactionManager,INFO,,0,0.00,,,,Snapshot saved before payment and dispense -> Item: food
2026-04-27 18:39:21,TXN-4,Purchase,SAVED,food,2,0.00,CARD,SNAPSHOT_SAVED,,Rollback point captured
2026-04-27 18:39:21,TXN-4,Purchase,PASSED,food,2,176.00,CARD,RESERVED,,Stock reserved atomically
2026-04-27 18:39:21,TXN-4,Purchase,PASSED,food,2,176.00,CARD,PAYMENT_CONFIRMED,,Payment adapter approved charge
2026-04-27 18:39:21,TXN-4,Purchase,SUCCESS,food,2,176.00,CARD,COMMITTED,,Inventory reduced and transaction completed atomically
2026-04-27 18:39:21,N/A,TransactionManager,INFO,,0,0.00,,,,Purchase completed -> SUCCESS | Item: food
2026-04-27 18:39:21,N/A,TransactionManager,INFO,,0,0.00,,,,Purchase requested -> TXN-5 Item: medkit Qty: 1 Payment: WALLET
2026-04-27 18:39:21,TXN-5,Purchase,STARTED,medkit,1,0.00,WALLET,REQUESTED,,Purchase request accepted by facade
2026-04-27 18:39:21,TXN-5,Purchase,PASSED,medkit,1,0.00,WALLET,VALIDATED,,All static and derived constraints passed
